# one hour of 5Hz jitter data
# from 24-hour data set generated 13apr2017 by tamz
# t,dq0,dq1,dq2,dq3
30.8,1.00000012703569,-1.45170856351469e-06,-2.16966002396929e-06,-2.97288773314086e-06
31,1.00000012703529,-1.4613999308466e-06,-2.0942881867117e-06,-3.15249224987907e-06
31.2,1.00000012703516,-1.43149236640945e-06,-1.99257919884441e-06,-3.26979009877132e-06
31.4000000000001,1.00000012703493,-1.39932281098022e-06,-1.9183336106357e-06,-3.39629757348248e-06
31.6000000000001,1.00000012703486,-1.39446293714093e-06,-1.80440509208249e-06,-3.48113295985802e-06
31.8,1.00000012703498,-1.35217993357892e-06,-1.65966334683687e-06,-3.53389270739413e-06
32,1.00000012703494,-1.31595288097291e-06,-1.54937709242672e-06,-3.60979234392128e-06
32.2,1.000000127035,-1.31008303442485e-06,-1.39927025218783e-06,-3.65647702045557e-06
32.4000000000001,1.00000012703521,-1.24552609890444e-06,-1.23562308625841e-06,-3.68099499482855e-06
32.6000000000001,1.00000012703525,-1.17659040992524e-06,-1.12780807780266e-06,-3.72481927295859e-06
32.8,1.0000001270354,-1.14648609741627e-06,-9.82094492042729e-07,-3.73561313680298e-06
33,1.00000012703569,-1.06385416806694e-06,-8.27757716700267e-07,-3.72090753936877e-06
33.2,1.00000012703583,-9.9801840308146e-07,-7.36118462144053e-07,-3.71988333067175e-06
33.4000000000001,1.00000012703605,-9.75547743538308e-07,-6.07587519525776e-07,-3.68971659973905e-06
33.6000000000001,1.00000012703638,-8.92063355806445e-07,-4.76965451835787e-07,-3.64177161324419e-06
33.8,1.00000012703657,-8.28639756752375e-07,-4.1868148740673e-07,-3.60987225461046e-06
34,1.00000012703682,-8.07669242987655e-07,-3.24954168712255e-07,-3.55463576987708e-06
34.2,1.00000012703713,-7.17240931629587e-07,-2.44673497032388e-07,-3.49443725240067e-06
34.4000000000001,1.00000012703729,-6.55786441334377e-07,-2.48602754781418e-07,-3.45853004236896e-06
34.6000000000001,1.00000012703746,-6.49540144952339e-07,-2.04437824242315e-07,-3.41289128739236e-06
34.8,1.00000012703767,-5.78109757824567e-07,-1.58001720342721e-07,-3.36592024495486e-06
35,1.00000012703778,-5.39371118969678e-07,-1.73107066056555e-07,-3.33948937702305e-06
35.2,1.0000001270379,-5.40158394894685e-07,-1.22246638360746e-07,-3.30723361820912e-06
35.4000000000001,1.00000012703806,-4.49746122145427e-07,-7.06131668450072e-08,-3.27384427456501e-06
35.6000000000001,1.00000012703814,-3.90411201338023e-07,-8.85505354111804e-08,-3.25446556669745e-06
35.8,1.00000012703824,-3.70775163155423e-07,-4.17001630864666e-08,-3.22657231126983e-06
36,1.00000012703839,-2.62077116311606e-07,4.73078878154842e-10,-3.19315294188688e-06
36.2,1.00000012703844,-2.08797679660845e-07,-2.04999276616491e-08,-3.17994333969701e-06
36.4000000000001,1.00000012703847,-2.13998528444601e-07,3.19833915289613e-08,-3.17168636984611e-06
36.6000000000001,1.00000012703849,-1.43966806067687e-07,8.38087984775249e-08,-3.16818427041621e-06
36.8,1.00000012703845,-1.41062601190234e-07,7.7564883158715e-08,-3.1802208877163e-06
37,1.00000012703837,-1.88953713800566e-07,1.54404371316419e-07,-3.19926176331475e-06
37.2,1.00000012703831,-1.48043670522222e-07,2.19164833337171e-07,-3.21691863541806e-06
37.4000000000001,1.00000012703825,-1.78419185118024e-07,2.17276782333437e-07,-3.23487299296044e-06
37.6000000000001,1.00000012703819,-2.52303176147446e-07,2.87206918664351e-07,-3.24126555580756e-06
37.8,1.00000012703824,-2.24913141354255e-07,3.34669502229101e-07,-3.22466706929175e-06
38,1.00000012703832,-2.77786011497992e-07,3.23520136933514e-07,-3.1961812266279e-06
38.2,1.00000012703834,-3.80054552555527e-07,4.06237515997859e-07,-3.16981558043383e-06
38.4000000000001,1.00000012703842,-3.86062641871514e-07,4.71914463614359e-07,-3.13412511343536e-06
38.6000000000001,1.00000012703856,-4.55902115600003e-07,4.77207876971308e-07,-3.07846636309062e-06
38.8,1.0000001270387,-5.25812857335613e-07,5.6316557845576e-07,-3.00661189891333e-06
39,1.00000012703902,-4.60554338116946e-07,6.02802830356602e-07,-2.90292834317224e-06
39.2,1.00000012703945,-4.56776823426139e-07,5.81911738406493e-07,-2.75660262481769e-06
39.4000000000001,1.00000012703984,-4.73094029447389e-07,6.57549665585011e-07,-2.5868389138331e-06
39.6000000000001,1.00000012704034,-3.91689366508081e-07,7.1239140948115e-07,-2.38687077228072e-06
39.8,1.00000012704082,-4.00457109827647e-07,7.29281684999639e-07,-2.17130404197435e-06
40,1.0000001270411,-4.1900583336741e-07,8.52845034492872e-07,-1.98228901733544e-06
40.2,1.00000012704141,-3.09187931542276e-07,9.50524841683564e-07,-1.79176517254437e-06
40.4000000000001,1.00000012704171,-2.55986394019636e-07,1.00486584473855e-06,-1.59563331286056e-06
40.6000000000001,1.00000012704183,-1.9591806460148e-07,1.14760439678951e-06,-1.41897937021296e-06
40.8,1.000000127042,-2.19061153687236e-08,1.24267256022131e-06,-1.21810253216059e-06
41,1.00000012704219,6.00278973828319e-08,1.28865831899166e-06,-9.95102811901516e-07
41.2,1.00000012704218,1.22005417212655e-07,1.42610605162463e-06,-7.93955862311846e-07
41.4000000000001,1.00000012704216,2.71123088932748e-07,1.51538158137468e-06,-5.93570843657187e-07
41.6000000000001,1.00000012704217,3.18836703480825e-07,1.55996041498879e-06,-4.12013622372309e-07
41.8,1.00000012704198,3.68454664822875e-07,1.6881983912094e-06,-2.94681990538337e-07
42,1.00000012704181,5.42276529931843e-07,1.75659272955153e-06,-1.96146220182714e-07
42.2,1.00000012704173,6.59775129386968e-07,1.77119381987792e-06,-1.0439796042927e-07
42.4000000000001,1.00000012704147,8.07637168045994e-07,1.85340384840568e-06,-4.05940732001175e-08
42.6000000000001,1.00000012704121,1.06140078936709e-06,1.86651258940809e-06,5.90778200248998e-08
42.8,1.00000012704109,1.20115841837059e-06,1.8383668803669e-06,1.79260386617974e-07
