# TESS ephemerides
#
# source: examples/ephem/tess.tm
# start:
#  UTC: 2018-04-20T20:00:00
#   ET: 577526469.186
# end:
#  UTC: 2018-06-30T00:00:00
#   ET: 583588869.184
# increment: 3600.0s
#
# time is TESS epoch in seconds
# positions are relative to the solar system barycenter, in km
# velocities in km/s
#
# time, x, y, z, vx, vy, vz
498.843908354,-124005485.085,-76680134.6508,-33285009.7613,16.5996836165,-21.6940996602,-9.44695680247
498.837573368,-123945719.533,-76758248.478,-33319020.3334,16.6034840864,-21.7023821633,-9.44778523996
498.831491187,-123885939.419,-76836391.1821,-33353033.6732,16.6077678061,-21.7101476823,-9.44849549793
498.825653989,-123826143.064,-76914560.9577,-33387049.3664,16.6125020622,-21.7174267229,-9.44909363219
498.820054455,-123766328.9,-76992756.1044,-33421067.0196,16.6176571174,-21.7242472859,-9.44958527553
498.81468572,-123706495.461,-77070975.0189,-33455086.2589,16.6232058682,-21.7306351322,-9.44997567594
498.809541343,-123646641.375,-77149216.1867,-33489106.7289,16.6291235509,-21.7366140144,-9.45026973047
498.804615265,-123586765.356,-77227478.1755,-33523128.0909,16.6353874858,-21.7422058801,-9.45047201625
498.799901779,-123526866.194,-77305759.6291,-33557150.0224,16.6419768553,-21.7474310501,-9.45058681772
498.79539551,-123466942.755,-77384059.2617,-33591172.2158,16.6488725099,-21.7523083741,-9.45061815096
498.791091378,-123406993.966,-77462375.853,-33625194.3775,16.6560567991,-21.7568553711,-9.45056978637
498.786984588,-123347018.819,-77540708.2436,-33659216.2269,16.6635134219,-21.7610883515,-9.45044526844
498.783070599,-123287016.361,-77619055.3306,-33693237.496,16.671227296,-21.7650225254,-9.45024793354
498.779345115,-123226985.691,-77697416.0643,-33727257.9284,16.6791844416,-21.7686721019,-9.44998092687
498.775804059,-123166925.956,-77775789.4442,-33761277.2787,16.6873718786,-21.7720503747,-9.44964721681
498.772443567,-123106836.351,-77854174.5164,-33795295.3117,16.695777536,-21.7751697998,-9.44924960845
498.769259967,-123046716.11,-77932570.3702,-33829311.8024,16.7043901699,-21.7780420663,-9.44879075605
498.766249771,-122986564.506,-78010976.1359,-33863326.5347,16.7131992914,-21.7806781588,-9.44827317404
498.763409659,-122926380.851,-78089390.982,-33897339.3016,16.722195102,-21.7830884136,-9.44769924706
498.760736474,-122866164.489,-78167814.1132,-33931349.9044,16.7313684347,-21.7852825705,-9.44707123949
498.758227206,-122805914.796,-78246244.7682,-33965358.1522,16.7407107024,-21.7872698191,-9.44639130402
498.75587899,-122745631.178,-78324682.218,-33999363.8619,16.7502138507,-21.7890588402,-9.44566148906
498.75368909,-122685313.072,-78403125.7639,-34033366.8574,16.7598703149,-21.7906578449,-9.44488374641
498.751654897,-122624959.937,-78481574.7358,-34067366.9696,16.7696729822,-21.7920746086,-9.44405993752
498.749773923,-122564571.259,-78560028.4912,-34101364.0358,16.7796151569,-21.7933165025,-9.4431918396
498.748043786,-122504146.548,-78638486.4132,-34135357.8998,16.7896905282,-21.7943905236,-9.44228115132
