Skipped 47425697 ('sector-2', 'cam1', 'ccd4')
Skipped 118586896 ('sector-2', 'cam2', 'ccd3')
Skipped 251878904 ('sector-2', 'cam2', 'ccd3')
Skipped 9033144 ('sector-2', 'cam1', 'ccd4')
Skipped 77031413 ('sector-2', 'cam1', 'ccd1')
Skipped 175482273 ('sector-2', 'cam2', 'ccd4')
Skipped 251855940 ('sector-2', 'cam2', 'ccd3')
Skipped 156016136 ('sector-2', 'cam2', 'ccd1')
Skipped 441075486 ('sector-2', 'cam1', 'ccd3')
Skipped 9032368 ('sector-2', 'cam1', 'ccd3')
Skipped 183675732 ('sector-2', 'cam2', 'ccd4')
Skipped 280097543 ('sector-1', 'cam3', 'ccd3')
Skipped 144301273 ('sector-2', 'cam2', 'ccd4')
Skipped 139285736 ('sector-1', 'cam2', 'ccd3')
Skipped 20892672 ('sector-2', 'cam1', 'ccd2')
Skipped 220396259 ('sector-2', 'cam4', 'ccd1')
Skipped 100014359 ('sector-2', 'cam2', 'ccd2')
Skipped 207084429 ('sector-2', 'cam3', 'ccd1')
Skipped 229091748 ('sector-2', 'cam2', 'ccd1')
Skipped 167418898 ('sector-1', 'cam4', 'ccd3')
Skipped 155995204 ('sector-2', 'cam2', 'ccd1')
Skipped 300810086 ('sector-1', 'cam4', 'ccd3')
Skipped 238059180 ('sector-2', 'cam4', 'ccd4')
Skipped 92359850 ('sector-4', 'cam2', 'ccd3')
Skipped 271900960 ('sector-1', 'cam4', 'ccd2')
Skipped 38541473 ('sector-4', 'cam2', 'ccd3')
Skipped 178155732 ('sector-3', 'cam2', 'ccd2')
Skipped 178155732 ('sector-3', 'cam2', 'ccd2')
Skipped 219379012 ('sector-4', 'cam3', 'ccd4')
Skipped 219388773 ('sector-4', 'cam3', 'ccd4')
Skipped 259701242 ('sector-4', 'cam3', 'ccd4')
Skipped 120896927 ('sector-3', 'cam2', 'ccd3')
Skipped 120896927 ('sector-3', 'cam2', 'ccd3')
Skipped 257567854 ('sector-4', 'cam2', 'ccd3')
Skipped 166833457 ('sector-4', 'cam2', 'ccd2')
Skipped 176984236 ('sector-1', 'cam4', 'ccd3')
Skipped 153065527 ('sector-3', 'cam3', 'ccd1')
Skipped 349518800 ('sector-1', 'cam4', 'ccd3')
Skipped 176778112 ('sector-4', 'cam2', 'ccd1')
Skipped 167754523 ('sector-1', 'cam4', 'ccd3')
Skipped 206466531 ('sector-3', 'cam3', 'ccd4')
Skipped 100990000 ('sector-3', 'cam3', 'ccd1')
Skipped 100990000 ('sector-3', 'cam3', 'ccd1')
Skipped 7624182 ('sector-4', 'cam3', 'ccd1')
Skipped 170634116 ('sector-4', 'cam2', 'ccd2')
Skipped 152476657 ('sector-4', 'cam3', 'ccd1')
Skipped 339733013 ('sector-1', 'cam4', 'ccd3')
Skipped 178284730 ('sector-4', 'cam2', 'ccd3')
Skipped 279251651 ('sector-2', 'cam4', 'ccd4')
Skipped 408159788 ('sector-5', 'cam1', 'ccd3')
Skipped 94986319 ('sector-5', 'cam2', 'ccd3')
Skipped 117979455 ('sector-5', 'cam2', 'ccd3')
Skipped 43647325 ('sector-5', 'cam1', 'ccd2')
Skipped 117979694 ('sector-5', 'cam2', 'ccd3')
Skipped 169532369 ('sector-5', 'cam2', 'ccd3')
Skipped 189013224 ('sector-5', 'cam2', 'ccd3')
Skipped 70914192 ('sector-5', 'cam2', 'ccd4')
Skipped 117979850 ('sector-5', 'cam2', 'ccd3')
Skipped 259592689 ('sector-3', 'cam3', 'ccd4')
Skipped 459942762 ('sector-5', 'cam1', 'ccd4')
Skipped 31374837 ('sector-5', 'cam2', 'ccd2')
Skipped 31374837 ('sector-5', 'cam2', 'ccd2')
Skipped 38686737 ('sector-5', 'cam2', 'ccd4')
Skipped 188989177 ('sector-5', 'cam2', 'ccd3')
Skipped 78055054 ('sector-5', 'cam3', 'ccd1')
Skipped 44647437 ('sector-4', 'cam2', 'ccd2')
Skipped 44745077 ('sector-4', 'cam2', 'ccd2')
Skipped 32499655 ('sector-5', 'cam2', 'ccd2')
Skipped 468880077 ('sector-5', 'cam1', 'ccd4')
Skipped 13021029 ('sector-5', 'cam2', 'ccd2')
Skipped 143350972 ('sector-5', 'cam2', 'ccd3')
Skipped 316916655 ('sector-5', 'cam2', 'ccd3')
Skipped 70899085 ('sector-5', 'cam2', 'ccd4')
Skipped 117979897 ('sector-5', 'cam2', 'ccd3')
Skipped 179034327 ('sector-4', 'cam2', 'ccd2')
Skipped 14091704 ('sector-5', 'cam3', 'ccd1')
Skipped 1449640 ('sector-5', 'cam3', 'ccd1')
Skipped 14091633 ('sector-5', 'cam3', 'ccd1')
Skipped 1528696 ('sector-5', 'cam2', 'ccd2')
Skipped 139528693 ('sector-5', 'cam2', 'ccd1')
Skipped 77951245 ('sector-5', 'cam3', 'ccd1')
Skipped 257605131 ('sector-4', 'cam3', 'ccd1')
Skipped 139733308 ('sector-5', 'cam2', 'ccd1')
Skipped 452808876 ('sector-5', 'cam1', 'ccd2')
Skipped 153077621 ('sector-3', 'cam3', 'ccd1')
Skipped 98796344 ('sector-4', 'cam2', 'ccd4')
Skipped 64071894 ('sector-4', 'cam2', 'ccd4')
Skipped 38603673 ('sector-1', 'cam4', 'ccd1')
Skipped 176831592 ('sector-4', 'cam2', 'ccd1')
Skipped 4616072 ('sector-6', 'cam2', 'ccd2')
Skipped 20178111 ('sector-6', 'cam3', 'ccd2')
Skipped 33521996 ('sector-6', 'cam2', 'ccd1')
Skipped 33692729 ('sector-6', 'cam2', 'ccd3')
Skipped 37770169 ('sector-6', 'cam2', 'ccd2')
Skipped 47911178 ('sector-6', 'cam2', 'ccd2')
Skipped 52280468 ('sector-6', 'cam3', 'ccd1')
Skipped 52640302 ('sector-6', 'cam3', 'ccd1')
Skipped 59843967 ('sector-6', 'cam2', 'ccd2')
Skipped 100608026 ('sector-5', 'cam3', 'ccd1')
Skipped 156987351 ('sector-6', 'cam3', 'ccd4')
Skipped 170102285 ('sector-6', 'cam3', 'ccd4')
Skipped 172464366 ('sector-6', 'cam2', 'ccd2')
Skipped 306362738 ('sector-6', 'cam2', 'ccd4')
Skipped 317548889 ('sector-6', 'cam2', 'ccd4')
Skipped 339672028 ('sector-7', 'cam4', 'ccd1')
Skipped 365639282 ('sector-6', 'cam1', 'ccd4')
Skipped 393414358 ('sector-6', 'cam3', 'ccd1')
Skipped 427348923 ('sector-6', 'cam1', 'ccd1')
Skipped 427352241 ('sector-6', 'cam1', 'ccd1')
Skipped 260708537 ('sector-1', 'cam4', 'ccd4')
Skipped 31852980 ('sector-1', 'cam3', 'ccd4')
Skipped 31852980 ('sector-1', 'cam3', 'ccd4')
Skipped 452866790 ('sector-7', 'cam1', 'ccd3')
Skipped 455096220 ('sector-7', 'cam1', 'ccd3')
Skipped 455135327 ('sector-7', 'cam1', 'ccd3')
Skipped 468987719 ('sector-7', 'cam1', 'ccd3')
Skipped 17746821 ('sector-7', 'cam1', 'ccd4')
Skipped 19025965 ('sector-7', 'cam1', 'ccd4')
Skipped 19519368 ('sector-7', 'cam1', 'ccd2')
Skipped 22529346 ('sector-7', 'cam3', 'ccd2')
Skipped 88977253 ('sector-7', 'cam1', 'ccd2')
Skipped 108645766 ('sector-7', 'cam2', 'ccd2')
Skipped 121338379 ('sector-7', 'cam1', 'ccd2')
Skipped 123702439 ('sector-7', 'cam3', 'ccd1')
Skipped 134200185 ('sector-6', 'cam3', 'ccd4')
Skipped 134537478 ('sector-7', 'cam3', 'ccd1')
Skipped 172193428 ('sector-6', 'cam2', 'ccd2')
Skipped 186812530 ('sector-7', 'cam1', 'ccd3')
Skipped 219164808 ('sector-1', 'cam4', 'ccd4')
Skipped 268644785 ('sector-7', 'cam3', 'ccd4')
Skipped 274138511 ('sector-7', 'cam1', 'ccd4')
Skipped 348538431 ('sector-7', 'cam2', 'ccd3')
Skipped 425206121 ('sector-7', 'cam1', 'ccd4')
Skipped 453211454 ('sector-7', 'cam1', 'ccd4')
Skipped 238086647 ('sector-6', 'cam3', 'ccd4')
Skipped 440777904 ('sector-7', 'cam1', 'ccd4')
Skipped 119292328 ('sector-6', 'cam3', 'ccd1')
Skipped 308307606 ('sector-1', 'cam4', 'ccd3')
Skipped 264979636 ('sector-7', 'cam1', 'ccd4')
Skipped 148479278 ('sector-6', 'cam3', 'ccd1')
Skipped 27649847 ('sector-7', 'cam1', 'ccd3')
Skipped 19451711 ('sector-7', 'cam1', 'ccd2')
Skipped 93125144 ('sector-6', 'cam2', 'ccd1')
Skipped 365690646 ('sector-6', 'cam1', 'ccd4')
Skipped 71512186 ('sector-6', 'cam2', 'ccd4')
Skipped 200593988 ('sector-6', 'cam1', 'ccd4')
Skipped 148228019 ('sector-6', 'cam3', 'ccd1')
Skipped 403693875 ('sector-6', 'cam1', 'ccd3')
Skipped 387690507 ('sector-6', 'cam1', 'ccd3')
Skipped 144700903 ('sector-6', 'cam1', 'ccd4')
Skipped 309791156 ('sector-1', 'cam4', 'ccd1')
Skipped 234112540 ('sector-6', 'cam1', 'ccd2')
Skipped 238004786 ('sector-2', 'cam4', 'ccd4')
Skipped 200322593 ('sector-4', 'cam3', 'ccd4')
Skipped 50618703 ('sector-6', 'cam1', 'ccd1')
Skipped 36440357 ('sector-6', 'cam1', 'ccd2')
Skipped 36352297 ('sector-6', 'cam1', 'ccd2')
Skipped 42821097 ('sector-6', 'cam1', 'ccd2')
Skipped 311183180 ('sector-5', 'cam1', 'ccd4')
Skipped 311183180 ('sector-5', 'cam1', 'ccd4')
Skipped 161477033 ('sector-4', 'cam3', 'ccd4')
Skipped 161477033 ('sector-4', 'cam3', 'ccd4')
Skipped 161477033 ('sector-4', 'cam3', 'ccd4')
Skipped 407966340 ('sector-5', 'cam1', 'ccd4')
Skipped 59003115 ('sector-5', 'cam1', 'ccd4')
Skipped 55488511 ('sector-5', 'cam2', 'ccd4')
Skipped 207110080 ('sector-2', 'cam3', 'ccd4')
Skipped 209459275 ('sector-4', 'cam2', 'ccd1')
Skipped 101011575 ('sector-8', 'cam2', 'ccd4')
Skipped 413248763 ('sector-8', 'cam2', 'ccd3')
Skipped 405454160 ('sector-8', 'cam2', 'ccd3')
Skipped 1003831 ('sector-8', 'cam2', 'ccd4')
Skipped 1103432 ('sector-8', 'cam2', 'ccd4')
Skipped 1133072 ('sector-8', 'cam2', 'ccd1')
Skipped 13349647 ('sector-8', 'cam1', 'ccd1')
Skipped 37575651 ('sector-8', 'cam2', 'ccd2')
Skipped 123482865 ('sector-7', 'cam3', 'ccd1')
Skipped 126733133 ('sector-8', 'cam3', 'ccd1')
Skipped 289535142 ('sector-8', 'cam2', 'ccd4')
Skipped 315002523 ('sector-8', 'cam2', 'ccd3')
Skipped 386435344 ('sector-8', 'cam2', 'ccd4')
Skipped 408310006 ('sector-8', 'cam2', 'ccd3')
Skipped 410094645 ('sector-8', 'cam2', 'ccd4')
Skipped 423275733 ('sector-8', 'cam2', 'ccd3')
Skipped 238061845 ('sector-6', 'cam3', 'ccd4')
Skipped 81419525 ('sector-8', 'cam3', 'ccd1')
Skipped 180987952 ('sector-8', 'cam3', 'ccd1')
Skipped 287474726 ('sector-8', 'cam2', 'ccd1')
Skipped 131743355 ('sector-7', 'cam3', 'ccd1')
Skipped 74482749 ('sector-8', 'cam3', 'ccd1')
Skipped 190990336 ('sector-8', 'cam2', 'ccd2')
Skipped 131979339 ('sector-7', 'cam3', 'ccd1')
Skipped 294090620 ('sector-8', 'cam2', 'ccd4')
Skipped 130415266 ('sector-6', 'cam3', 'ccd4')
Skipped 412961700 ('sector-8', 'cam2', 'ccd4')
Skipped 270841724 ('sector-8', 'cam3', 'ccd1')
Skipped 146261607 ('sector-7', 'cam3', 'ccd1')
Skipped 196286587 ('sector-7', 'cam2', 'ccd2')
Skipped 128463355 ('sector-7', 'cam2', 'ccd2')
Skipped 146406806 ('sector-7', 'cam2', 'ccd2')
Skipped 287329267 ('sector-1', 'cam4', 'ccd3')
Skipped 144956678 ('sector-7', 'cam3', 'ccd1')
Skipped 146208651 ('sector-8', 'cam3', 'ccd1')
Skipped 81429971 ('sector-7', 'cam3', 'ccd1')
Skipped 145982812 ('sector-8', 'cam3', 'ccd1')
Skipped 134396419 ('sector-7', 'cam3', 'ccd1')
Skipped 141363913 ('sector-8', 'cam3', 'ccd1')
