Skipped 251855940 ('sector-2', 'cam2', 'ccd3') TIC not in AN File
Skipped 156016136 ('sector-2', 'cam2', 'ccd1') TIC not in AN File
Skipped 441075486 ('sector-2', 'cam1', 'ccd3') TIC not in AN File
Skipped 9032368 ('sector-2', 'cam1', 'ccd3') TIC not in AN File
Skipped 183675732 ('sector-2', 'cam2', 'ccd4') TIC not in AN File
Skipped 144301273 ('sector-2', 'cam2', 'ccd4') TIC not in AN File
Skipped 100014359 ('sector-2', 'cam2', 'ccd2') TIC not in AN File
Skipped 229091748 ('sector-2', 'cam2', 'ccd1') TIC not in AN File
Skipped 155995204 ('sector-2', 'cam2', 'ccd1') TIC not in AN File
Skipped 120896927 ('sector-3', 'cam2', 'ccd3') AstroNetFile DNE
Skipped 166833457 ('sector-4', 'cam2', 'ccd2') TIC not in AN File
Skipped 100990000 ('sector-3', 'cam3', 'ccd1') AstroNetFile DNE
Skipped 43647325 ('sector-5', 'cam1', 'ccd2') TIC not in AN File
Skipped 259592689 ('sector-3', 'cam3', 'ccd4') AstroNetFile DNE
Skipped 38686737 ('sector-5', 'cam2', 'ccd4') TIC not in AN File
Skipped 78055054 ('sector-5', 'cam3', 'ccd1') TIC not in AN File
Skipped 44745077 ('sector-4', 'cam2', 'ccd2') TIC not in AN File
Skipped 32499655 ('sector-5', 'cam2', 'ccd2') TIC not in AN File
Skipped 13021029 ('sector-5', 'cam2', 'ccd2') TIC not in AN File
Skipped 117979897 ('sector-5', 'cam2', 'ccd3') TIC not in AN File
Skipped 1528696 ('sector-5', 'cam2', 'ccd2') TIC not in AN File
Skipped 77951245 ('sector-5', 'cam3', 'ccd1') TIC not in AN File
Skipped 153077621 ('sector-3', 'cam3', 'ccd1') AstroNetFile DNE
Skipped 4616072 ('sector-6', 'cam2', 'ccd2') TIC not in AN File
Skipped 33521996 ('sector-6', 'cam2', 'ccd1') TIC not in AN File
Skipped 59843967 ('sector-6', 'cam2', 'ccd2') TIC not in AN File
Skipped 100608026 ('sector-5', 'cam3', 'ccd1') TIC not in AN File
Skipped 365639282 ('sector-6', 'cam1', 'ccd4') TIC not in AN File
Skipped 427348923 ('sector-6', 'cam1', 'ccd1') TIC not in AN File
Skipped 427352241 ('sector-6', 'cam1', 'ccd1') TIC not in AN File
Skipped 468987719 ('sector-7', 'cam1', 'ccd3') TIC not in AN File
Skipped 108645766 ('sector-7', 'cam2', 'ccd2') TIC not in AN File
Skipped 274138511 ('sector-7', 'cam1', 'ccd4') AN Score: 0.045

Skipped 348538431 ('sector-7', 'cam2', 'ccd3') TIC not in AN File
Skipped 119292328 ('sector-6', 'cam3', 'ccd1') TIC not in AN File
Skipped 308307606 ('sector-1', 'cam4', 'ccd3') AstroNetFile DNE
Skipped 264979636 ('sector-7', 'cam1', 'ccd4') TIC not in AN File
Skipped 148479278 ('sector-6', 'cam3', 'ccd1') TIC not in AN File
Skipped 27649847 ('sector-7', 'cam1', 'ccd3') TIC not in AN File
Skipped 93125144 ('sector-6', 'cam2', 'ccd1') AN Score: 0.005

Skipped 365690646 ('sector-6', 'cam1', 'ccd4') TIC not in AN File
Skipped 200593988 ('sector-6', 'cam1', 'ccd4') TIC not in AN File
Skipped 148228019 ('sector-6', 'cam3', 'ccd1') AN Score: 0.028

Skipped 403693875 ('sector-6', 'cam1', 'ccd3') TIC not in AN File
Skipped 387690507 ('sector-6', 'cam1', 'ccd3') TIC not in AN File
Skipped 144700903 ('sector-6', 'cam1', 'ccd4') TIC not in AN File
Skipped 234112540 ('sector-6', 'cam1', 'ccd2') TIC not in AN File
Skipped 200322593 ('sector-4', 'cam3', 'ccd4') AN Score: 0.000

Skipped 50618703 ('sector-6', 'cam1', 'ccd1') AN Score: 0.003

Skipped 36440357 ('sector-6', 'cam1', 'ccd2') TIC not in AN File
Skipped 36352297 ('sector-6', 'cam1', 'ccd2') TIC not in AN File
Skipped 42821097 ('sector-6', 'cam1', 'ccd2') TIC not in AN File
Skipped 161477033 ('sector-4', 'cam3', 'ccd4') TIC not in AN File
Skipped 59003115 ('sector-5', 'cam1', 'ccd4') TIC not in AN File
Skipped 55488511 ('sector-5', 'cam2', 'ccd4') TIC not in AN File
Skipped 1133072 ('sector-8', 'cam2', 'ccd1') TIC not in AN File
Skipped 13349647 ('sector-8', 'cam1', 'ccd1') TIC not in AN File
Skipped 315002523 ('sector-8', 'cam2', 'ccd3') TIC not in AN File
Skipped 386435344 ('sector-8', 'cam2', 'ccd4') AN Score: 0.017

Skipped 423275733 ('sector-8', 'cam2', 'ccd3') TIC not in AN File
Skipped 30828562 ('sector-8', 'cam3', 'ccd1') TIC not in AN File
Skipped 33153766 ('sector-9', 'cam3', 'ccd2') TIC not in AN File
Skipped 35009898 ('sector-9', 'cam1', 'ccd4') TIC not in AN File
Skipped 36734222 ('sector-9', 'cam1', 'ccd1') TIC not in AN File
Skipped 48103627 ('sector-9', 'cam2', 'ccd1') TIC not in AN File
Skipped 82128636 ('sector-8', 'cam3', 'ccd1') TIC not in AN File
Skipped 219187649 ('sector-9', 'cam1', 'ccd2') TIC not in AN File
Skipped 339857675 ('sector-7', 'cam3', 'ccd4') TIC not in AN File
Skipped 320417762 ('sector-7', 'cam1', 'ccd4') AN Score: 0.005

Skipped 77253676 ('sector-4', 'cam3', 'ccd1') TIC not in AN File
Skipped 149302744 ('sector-1', 'cam4', 'ccd4') AstroNetFile DNE
Skipped 237914496 ('sector-1', 'cam4', 'ccd1') AstroNetFile DNE
Skipped 237928815 ('sector-2', 'cam3', 'ccd4') AN Score: 0.012

Skipped 391904697 ('sector-1', 'cam4', 'ccd2') AstroNetFile DNE
Skipped 167342439 ('sector-1', 'cam4', 'ccd3') AstroNetFile DNE
Skipped 309402106 ('sector-1', 'cam4', 'ccd3') AstroNetFile DNE
Skipped 38510224 ('sector-1', 'cam4', 'ccd1') AstroNetFile DNE
Skipped 150247134 ('sector-1', 'cam4', 'ccd4') AstroNetFile DNE
Skipped 174143743 ('sector-7', 'cam3', 'ccd1') TIC not in AN File
Skipped 149788158 ('sector-8', 'cam1', 'ccd1') TIC not in AN File
Skipped 144138509 ('sector-9', 'cam1', 'ccd3') TIC not in AN File
Skipped 34068865 ('sector-9', 'cam3', 'ccd1') TIC not in AN File
Skipped 36724087 ('sector-9', 'cam1', 'ccd1') TIC not in AN File
Skipped 106402532 ('sector-9', 'cam2', 'ccd2') TIC not in AN File
Skipped 150271680 ('sector-1', 'cam4', 'ccd4') AstroNetFile DNE
Skipped 359271092 ('sector-9', 'cam3', 'ccd4') TIC not in AN File
Skipped 444842193 ('sector-9', 'cam3', 'ccd1') TIC not in AN File
Skipped 15445551 ('sector-10', 'cam2', 'ccd2') TIC not in AN File
Skipped 14661418 ('sector-10', 'cam1', 'ccd1') TIC not in AN File
Skipped 61538902 ('sector-10', 'cam2', 'ccd4') TIC not in AN File
Skipped 72985822 ('sector-10', 'cam2', 'ccd3') TIC not in AN File
Skipped 73228647 ('sector-10', 'cam2', 'ccd3') TIC not in AN File
Skipped 73649615 ('sector-10', 'cam2', 'ccd3') TIC not in AN File
Skipped 130924120 ('sector-10', 'cam1', 'ccd2') TIC not in AN File
Skipped 165317334 ('sector-10', 'cam2', 'ccd4') TIC not in AN File
Skipped 178709444 ('sector-10', 'cam2', 'ccd1') TIC not in AN File
Skipped 178819686 ('sector-10', 'cam2', 'ccd3') TIC not in AN File
Skipped 181159386 ('sector-10', 'cam2', 'ccd4') TIC not in AN File
Skipped 219401954 ('sector-4', 'cam3', 'ccd4') TIC not in AN File
Skipped 229811538 ('sector-10', 'cam1', 'ccd3') TIC not in AN File
Skipped 248111245 ('sector-10', 'cam2', 'ccd3') TIC not in AN File
Skipped 277634430 ('sector-10', 'cam3', 'ccd4') TIC not in AN File
Skipped 294301883 ('sector-10', 'cam1', 'ccd3') TIC not in AN File
Skipped 304042899 ('sector-10', 'cam3', 'ccd1') TIC not in AN File
Skipped 306996324 ('sector-10', 'cam2', 'ccd4') TIC not in AN File
Skipped 413376180 ('sector-10', 'cam1', 'ccd1') TIC not in AN File
Skipped 429358906 ('sector-10', 'cam1', 'ccd4') TIC not in AN File
Skipped 451645081 ('sector-10', 'cam2', 'ccd2') TIC not in AN File
Skipped 374829238 ('sector-2', 'cam4', 'ccd1') TIC not in AN File
Skipped 375059587 ('sector-1', 'cam4', 'ccd3') AstroNetFile DNE
Skipped 349829627 ('sector-1', 'cam4', 'ccd3') AstroNetFile DNE
Skipped 300710077 ('sector-1', 'cam4', 'ccd3') AstroNetFile DNE
Skipped 308994098 ('sector-1', 'cam4', 'ccd3') AstroNetFile DNE
Skipped 306472057 ('sector-1', 'cam4', 'ccd3') AstroNetFile DNE
Skipped 294780517 ('sector-1', 'cam4', 'ccd1') AstroNetFile DNE
Skipped 300013921 ('sector-1', 'cam4', 'ccd3') AstroNetFile DNE
Skipped 278895705 ('sector-1', 'cam4', 'ccd4') AstroNetFile DNE
Skipped 277099925 ('sector-1', 'cam4', 'ccd1') AstroNetFile DNE
Skipped 260640693 ('sector-1', 'cam4', 'ccd4') AstroNetFile DNE
Skipped 255685030 ('sector-2', 'cam4', 'ccd4') AN Score: 0.040

Skipped 177258735 ('sector-1', 'cam4', 'ccd2') AstroNetFile DNE
Skipped 167303382 ('sector-1', 'cam4', 'ccd3') AstroNetFile DNE
Skipped 143526444 ('sector-7', 'cam2', 'ccd3') TIC not in AN File
Skipped 41227743 ('sector-1', 'cam4', 'ccd2') AstroNetFile DNE
Skipped 38460940 ('sector-1', 'cam4', 'ccd1') AstroNetFile DNE
Skipped 33831980 ('sector-1', 'cam3', 'ccd3') TIC not in AN File
Skipped 30853470 ('sector-1', 'cam4', 'ccd1') AstroNetFile DNE
Skipped 30122649 ('sector-8', 'cam3', 'ccd1') TIC not in AN File
Skipped 149301575 ('sector-1', 'cam4', 'ccd4') AstroNetFile DNE
Skipped 388106759 ('sector-1', 'cam4', 'ccd1') AstroNetFile DNE
Skipped 55525572 ('sector-1', 'cam4', 'ccd1') AstroNetFile DNE
Skipped 73717937 ('sector-10', 'cam2', 'ccd3') TIC not in AN File
Skipped 193641523 ('sector-12', 'cam2', 'ccd4') TIC not in AN File
Skipped 362249359 ('sector-9', 'cam3', 'ccd4') TIC not in AN File
Skipped 238932509 ('sector-1', 'cam4', 'ccd4') AstroNetFile DNE
Skipped 380886535 ('sector-3', 'cam1', 'ccd3') TIC not in AN File
Skipped 32283946 ('sector-3', 'cam2', 'ccd4') AstroNetFile DNE
Skipped 42015200 ('sector-3', 'cam2', 'ccd1') AstroNetFile DNE
Skipped 33595516 ('sector-3', 'cam2', 'ccd3') AstroNetFile DNE
Skipped 29918916 ('sector-3', 'cam1', 'ccd3') TIC not in AN File
Skipped 138727432 ('sector-3', 'cam2', 'ccd2') AstroNetFile DNE
Skipped 160222069 ('sector-3', 'cam2', 'ccd1') AstroNetFile DNE
Skipped 238898571 ('sector-5', 'cam3', 'ccd4') TIC not in AN File
Skipped 231728511 ('sector-4', 'cam3', 'ccd4') TIC not in AN File
Skipped 44797824 ('sector-4', 'cam2', 'ccd2') AN Score: 0.001

Skipped 381976956 ('sector-1', 'cam4', 'ccd4') AstroNetFile DNE
Skipped 358460246 ('sector-1', 'cam4', 'ccd3') AstroNetFile DNE
Skipped 200807066 ('sector-3', 'cam3', 'ccd4') AstroNetFile DNE
Skipped 219229644 ('sector-3', 'cam3', 'ccd4') AstroNetFile DNE
Skipped 219344917 ('sector-4', 'cam3', 'ccd4') TIC not in AN File
Skipped 237920046 ('sector-1', 'cam4', 'ccd1') AstroNetFile DNE
Skipped 232025086 ('sector-5', 'cam3', 'ccd4') TIC not in AN File
Skipped 14165625 ('sector-5', 'cam3', 'ccd1') TIC not in AN File
Skipped 32497972 ('sector-5', 'cam2', 'ccd2') TIC not in AN File
Skipped 123846039 ('sector-6', 'cam1', 'ccd2') TIC not in AN File
Skipped 120269103 ('sector-6', 'cam1', 'ccd2') TIC not in AN File
Skipped 333607525 ('sector-6', 'cam2', 'ccd3') TIC not in AN File
Skipped 250484865 ('sector-6', 'cam1', 'ccd2') TIC not in AN File
Skipped 102283403 ('sector-6', 'cam1', 'ccd4') TIC not in AN File
Skipped 229384040 ('sector-6', 'cam1', 'ccd3') AN Score: 0.064

Skipped 261867566 ('sector-12', 'cam2', 'ccd1') TIC not in AN File
Skipped 305424003 ('sector-12', 'cam2', 'ccd3') TIC not in AN File
Skipped 364107753 ('sector-12', 'cam2', 'ccd2') TIC not in AN File
Skipped 100921768 ('sector-3', 'cam3', 'ccd1') AstroNetFile DNE
Skipped 332660150 ('sector-5', 'cam2', 'ccd4') TIC not in AN File
Skipped 259863352 ('sector-1', 'cam3', 'ccd4') TIC not in AN File
Skipped 317060587 ('sector-1', 'cam3', 'ccd2') TIC not in AN File
Skipped 322270620 ('sector-12', 'cam3', 'ccd1') TIC not in AN File
Skipped 327017634 ('sector-12', 'cam2', 'ccd1') TIC not in AN File
Skipped 23434737 ('sector-9', 'cam2', 'ccd3') TIC not in AN File
Skipped 467666275 ('sector-10', 'cam3', 'ccd1') TIC not in AN File
Skipped 287776397 ('sector-10', 'cam3', 'ccd4') AN Score: 0.074

Skipped 308034948 ('sector-10', 'cam2', 'ccd2') TIC not in AN File
Skipped 364393429 ('sector-1', 'cam4', 'ccd3') AstroNetFile DNE
Skipped 273985865 ('sector-1', 'cam3', 'ccd3') TIC not in AN File
Skipped 30037565 ('sector-1', 'cam4', 'ccd1') AstroNetFile DNE
Skipped 33878688 ('sector-1', 'cam4', 'ccd2') AstroNetFile DNE
Skipped 50312495 ('sector-2', 'cam3', 'ccd3') TIC not in AN File
Skipped 389924075 ('sector-1', 'cam4', 'ccd2') AstroNetFile DNE
Skipped 451606970 ('sector-12', 'cam3', 'ccd1') TIC not in AN File
Skipped 453260209 ('sector-10', 'cam3', 'ccd4') TIC not in AN File
Skipped 141527965 ('sector-1', 'cam4', 'ccd2') AstroNetFile DNE
Skipped 248092710 ('sector-10', 'cam2', 'ccd3') TIC not in AN File
Skipped 294781547 ('sector-1', 'cam4', 'ccd1') AstroNetFile DNE
Skipped 294981566 ('sector-1', 'cam4', 'ccd1') AstroNetFile DNE
Skipped 319259194 ('sector-1', 'cam4', 'ccd2') AstroNetFile DNE
Skipped 349095149 ('sector-1', 'cam4', 'ccd3') AstroNetFile DNE
Skipped 374997123 ('sector-1', 'cam4', 'ccd3') AstroNetFile DNE
Skipped 382437043 ('sector-1', 'cam4', 'ccd3') AstroNetFile DNE
Skipped 299798795 ('sector-1', 'cam3', 'ccd3') TIC not in AN File
Skipped 300038935 ('sector-1', 'cam4', 'ccd3') AstroNetFile DNE
Skipped 260647166 ('sector-10', 'cam2', 'ccd2') TIC not in AN File
Skipped 219698776 ('sector-14', 'cam4', 'ccd3') TIC not in AN File
Skipped 233059608 ('sector-17', 'cam4', 'ccd4') TIC not in AN File
Skipped 355867695 ('sector-14', 'cam4', 'ccd3') TIC not in AN File
Skipped 356311210 ('sector-17', 'cam4', 'ccd4') TIC not in AN File
Skipped 365938305 ('sector-14', 'cam4', 'ccd2') TIC not in AN File
Skipped 13499636 ('sector-15', 'cam1', 'ccd3') TIC not in AN File
Skipped 43064903 ('sector-15', 'cam1', 'ccd2') TIC not in AN File
Skipped 163539739 ('sector-15', 'cam1', 'ccd4') TIC not in AN File
Skipped 266593143 ('sector-15', 'cam1', 'ccd4') TIC not in AN File
Skipped 352764091 ('sector-15', 'cam2', 'ccd1') TIC not in AN File
Skipped 408203470 ('sector-15', 'cam1', 'ccd2') TIC not in AN File
Skipped 417676622 ('sector-15', 'cam2', 'ccd3') TIC not in AN File
Skipped 167092385 ('sector-15', 'cam1', 'ccd1') AstroNetFile DNE
Skipped 167098530 ('sector-15', 'cam1', 'ccd1') AstroNetFile DNE
Skipped 167403519 ('sector-15', 'cam1', 'ccd1') AstroNetFile DNE
Skipped 256886630 ('sector-15', 'cam1', 'ccd1') AstroNetFile DNE
Skipped 275111900 ('sector-15', 'cam1', 'ccd1') AstroNetFile DNE
Skipped 69747919 ('sector-2', 'cam1', 'ccd4') AN Score: 0.001

Skipped 148782377 ('sector-16', 'cam4', 'ccd4') TIC not in AN File
