This file was produced by the Exoplanet Follow-up Observing Program website (exofop.ipac.caltech.edu) on Fri Apr 03 07:45:18 2020																																																				
																																																				
TIC ID	TOI	Previous CTOI	Master priority	SG1A priority	SG1B priority	SG2 priority	SG3 priority	SG4 priority	SG5 priority	ACWG priority	TESS Disposition	TFOPWG Disposition	TESS mag	TESS mag error	PCs	Source	RA (degrees)	Dec (degrees)	PM RA (mas/yr)	PM RA error	PM Dec (mas/yr)	PM Dec error	Epoch (BJD)	Epoch error	Period (days)	Period error	Duration (hours)	Duration error	Depth (mmag)	Depth (mmag) error	Depth (ppm)	Depth (ppm) error	Planet Radius (R_Earth)	Planet Radius error	Planet Insolation (Earth flux)	Planet Eq Temp (K)	Planet SNR	Stellar Distance (pc)	Stellar Distance error	Stellar Teff (K)	Stellar Teff error	Stellar log(g) (cm/s2)	Stellar log(g) error	Stellar Radius (R_Sun)	Stellar Radius error	Stellar Metallicity	Stellar Metallicity error	Sectors	Comments	Date TOI Alerted (by TESS Project)	Date TOI Updated (by TESS Project)	Date Modified (by ExoFOP-TESS)
231702397	122.01		2	4	4	2	2	3	4	5	PC		13.084	0.007	1	spoc	332.948236	-58.946085	138.138	0.089	-235.81	0.076	2458329.12146	0.002308	5.077677	0.000878	1.155359	0.447793	7.082388	0.848326	6501.890625	781.03241	2.386458	1.250847	6.457958	406.577698	0.940471	62.118	0.2158	3318	64	4.9581	0.407256	0.294	0.051			1	Small star with a small planet candidate	2018-09-05	2019-12-17	2020-01-16
290131778	123.01		3	5	5	5	4	5	3	5	PC	CP	7.87598	0.011	1	spoc	319.699588	-26.616374	23.236	0.157	-57.557	0.152	2458325.37561	0.000473	3.308754	0.000101	5.634728	0.031274	3.455018	0.030544	3177.131836	28.132027	7.723223	7.723462	1078.91748	1461.72876	0.920341	161.498	2.4235	6188	194	4.27166	2.00586	1.31887	1.31887			1		2018-09-05	2019-12-17	2020-01-16
29831208	124.01		5	5	5	5	5	5	5	5	PC	FP	11.1311	0.006	1	spoc	66.58263	-67.806354	7.888	0.108	32.653	0.115	2458326.544434	0.001148	1.84286	0.000046	1.719758	0.104861	2.684587	0.139724	2469.541504	128.681992	7.09999	9.345614	590.536682	1257.278442	22.854355	809.252	43.8985	5080	181	4.48159	2.00353	0.877602	0.877602			"1,3"	known TOI	2018-09-05	2019-12-17	2020-01-16
52368076	125.01		1	5	5	5	4	1	2	4	PC	CP	10.1985	0.006	1	spoc	23.593425	-66.676349	-119.8	0.066	-122.953	0.08	2458327.432861	0.001879	4.653811	0.000289	2.921928	0.288457	1.094846	0.054923	1007.882446	50.584927	2.863905	1.099036	188.107544	944.542053	17.438063	111.059	0.442	5154	182	4.47072	0.28501	0.89927	0.116155			"1,2"		2018-09-05	2019-12-17	2020-01-16
52368076	125.02		2	5	5	5	4	4	2	5	PC	CP	10.1985	0.006	2	spoc	23.593425	-66.676349	-119.8	0.066	-122.953	0.08	2458334.456665	0.002132	9.150607	0.00073	2.907668	0.380794	1.08213	0.066853	996.181824	61.571884	2.861244	1.371003	76.380043	753.988525	14.804296	111.059	0.442	5154	182	4.47072	0.28501	0.89927	0.116155			"1,2"	second planet (125.02)	2018-09-05	2019-12-17	2020-01-16
52368076	125.03		1	4	1	5	4	4	1	5	PC		10.1985	0.006	3	spoc	23.593425	-66.676349	-119.8	0.066	-122.953	0.08	2458342.851807	0.003286	19.981867	0.004595	2.991231	0.720831	1.136504	0.121919	1046.211182	112.284874	2.899664	2.696121	26.945604	581.087769	10.261628	111.059	0.442	5154	182	4.47072	0.28501	0.89927	0.116155			"1,2"	period is likely correct but possibly two independent single transits	2018-10-19	2019-12-17	2020-01-16
70440470	126.01		5	5	5	5	5	5	5	5	PC	KP	12.7923	0.006	1	spoc	339.489275	-35.154203	-9.326	0.041	-50.142	0.045	2458326.731079	0.000948	3.035381	0.000203	2.886722	0.077295	18.329993	0.362193	16740.835938	333.53653	15.044467	15.047709	718.651245	1320.533081	0.860842	573.027	11.688	5751	189	4.35036		1.12237	1.12237			1		2018-09-05	2019-12-17	2020-03-04
234523599	127.01		5	5	5	5	4	5	5	5	KP	CP	14.1266	0.007	1	spoc	15.551889	-61.756133	78.858	0.087	-27.095	0.064	2458325.650146	0.000565	3.795609	0.000069	2.042805	0.04323	61.846913	0.872572	55371.085938	803.346008	23.750977	0.342044	54.25058	692.182861	58.1628	140.225	0.86	3424		4.438		1				"1,2"		2018-09-05	2019-12-17	2020-01-16
391949880	128.01		1	5	5	1	4	4	4	2	PC		7.9849	0.006	1	spoc	79.520938	-80.964384	-49.146	0.042	45.307	0.046	2458328.129395	0.001912	4.940663	0.000654	2.202493	0.278214	0.432821	0.030868	398.563171	28.429855	2.766351	0.943072	596.283936	1260.326416	16	68.4727	0.119	6086	193	4.26269	0.26143	1.3075	0.145464			1	There is a nearby (2	2018-09-05	2019-12-17	2020-01-16
201248411	129.01		3	5	5	3	2	4	4		PC		9.9005	0.006	1	spoc	0.185606	-54.830823	-202.815	0.031	-71.518	0.029	2458354.552368	0.000149	0.980981	0.00001	0.743316	0.014155	7.657951	0.131193	7028.41748	120.825813	9.218137	2.036007			108.864296	61.7856	0.0805	4486	175	4.49914	0.338797	0.782459	0.124009			2	TOI 129.01	2018-09-05	2019-12-17	2019-12-17
